Date,Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Total Precip (mm),Spd of Max Gust (km/h)
2019-01-01,2019,1,1,6.1,-6.7,-0.3,0.4,55
2019-01-02,2019,1,2,0.4,-7.9,-3.8,2.1,
2019-01-03,2019,1,3,1.8,-0.4,0.7,0,48
2019-01-04,2019,1,4,6.6,1.5,4.1,0,41
2019-01-05,2019,1,5,3.6,1.2,2.4,0,39
2019-01-06,2019,1,6,5,-6.7,-0.9,0,52
2019-01-07,2019,1,7,5.2,-7.2,-1,2.7,63
2019-01-08,2019,1,8,8.7,3.4,6.1,3.8,41
2019-01-09,2019,1,9,3.4,-3.3,0.1,0.2,67
2019-01-10,2019,1,10,-3.3,-9.9,-6.6,0,61
2019-01-11,2019,1,11,-6.3,-12,-9.2,0,54
2019-01-12,2019,1,12,-4.4,-6.6,-5.5,0,37
2019-01-13,2019,1,13,-5.4,-9.6,-7.5,0,42
2019-01-14,2019,1,14,-1.6,-5.9,-3.8,0,32
2019-01-15,2019,1,15,0.6,-2.9,-1.2,0,63
2019-01-16,2019,1,16,0.5,-9.5,-4.5,0,71
2019-01-17,2019,1,17,-1.8,-11.3,-6.6,0,
2019-01-18,2019,1,18,0.8,-8.3,-3.8,0.5,45
2019-01-19,2019,1,19,-8.3,-15,-11.7,1.4,39
2019-01-20,2019,1,20,-13.6,-21,-17.3,0,59
2019-01-21,2019,1,21,-10.6,-21,-15.8,0,52
2019-01-22,2019,1,22,1.3,-16.5,-7.6,0,52
2019-01-23,2019,1,23,4.3,0.2,2.3,9.8,45
2019-01-24,2019,1,24,3.8,-2.2,0.8,4.2,48
2019-01-25,2019,1,25,-1.8,-10,-5.9,0,72
2019-01-26,2019,1,26,-4,-11.7,-7.9,0,48
2019-01-27,2019,1,27,-2,-12.4,-7.2,2.7,65
2019-01-28,2019,1,28,-1.9,-17.6,-9.8,,74
2019-01-29,2019,1,29,1.4,-13.3,-6,,76
2019-01-30,2019,1,30,-13,-20.1,-16.6,,78
2019-01-31,2019,1,31,-12.8,-20.2,-16.5,,67
2019-02-01,2019,2,1,-9.4,-17.1,-13.3,,35
2019-02-02,2019,2,2,1.6,-12.7,-5.6,,48
2019-02-03,2019,2,3,5.3,-0.1,2.6,,
2019-02-04,2019,2,4,10.5,3,6.8,,35
2019-02-05,2019,2,5,8.6,-5.1,1.8,0.2,61
2019-02-06,2019,2,6,-0.3,-5.1,-2.7,7.5,67
2019-02-07,2019,2,7,3.4,-2.3,0.6,0.2,54
2019-02-08,2019,2,8,4.7,-8.6,-2,0,84
2019-02-09,2019,2,9,-2.7,-8.4,-5.6,0,61
2019-02-10,2019,2,10,-3.2,-7.6,-5.4,0,
2019-02-11,2019,2,11,-3.1,-5,-4.1,0,63
2019-02-12,2019,2,12,1.9,-5.7,-1.9,17.5,84
2019-02-13,2019,2,13,1.8,-4.1,-1.2,0,72
2019-02-14,2019,2,14,2.4,-3.4,-0.5,0,55
2019-02-15,2019,2,15,3.3,-3,0.2,1,71
2019-02-16,2019,2,16,-2,-6.9,-4.5,0,52
2019-02-17,2019,2,17,-5,-9.1,-7.1,0,48
2019-02-18,2019,2,18,-4.2,-11,-7.6,0.6,41
2019-02-19,2019,2,19,-3.1,-11.8,-7.5,0,35
2019-02-20,2019,2,20,0.9,-8.4,-3.8,1.7,52
2019-02-21,2019,2,21,4.1,-0.8,1.7,0,59
2019-02-22,2019,2,22,2.5,-2,0.3,0,
2019-02-23,2019,2,23,2.1,-1.3,0.4,0,55
2019-02-24,2019,2,24,5.6,-1.8,1.9,7.8,89
2019-02-25,2019,2,25,-1.5,-6.5,-4,0,93
2019-02-26,2019,2,26,-5.1,-9.1,-7.1,0,46
2019-02-27,2019,2,27,-6,-11.5,-8.8,1.1,55
2019-02-28,2019,2,28,-6.1,-14,-10.1,0,
2019-03-01,2019,3,1,-1.2,-8.8,-5,0,
2019-03-02,2019,3,2,-0.4,-3.6,-2,2.3,32
2019-03-03,2019,3,3,-1.9,-7.4,-4.7,0,35
2019-03-04,2019,3,4,-6.7,-11.6,-9.2,0,54
2019-03-05,2019,3,5,-7.6,-12.4,-10,0,58
2019-03-06,2019,3,6,-8,-12,-10,0,50
2019-03-07,2019,3,7,-4.7,-10.7,-7.7,0,45
2019-03-08,2019,3,8,-1.4,-10.5,-6,0,
2019-03-09,2019,3,9,1.7,-8.4,-3.4,0.8,80
2019-03-10,2019,3,10,5.1,1.2,3.2,13.2,78
2019-03-11,2019,3,11,2.9,-1,1,0,61
2019-03-12,2019,3,12,3.3,-1.8,0.8,0,52
2019-03-13,2019,3,13,2.4,-0.4,1,0,41
2019-03-14,2019,3,14,10.1,1.9,6,8.8,42
2019-03-15,2019,3,15,10.2,1.2,5.7,0.2,59
2019-03-16,2019,3,16,2.1,-3,-0.5,0,61
2019-03-17,2019,3,17,2.2,-4.9,-1.4,0,42
2019-03-18,2019,3,18,3.6,-1.5,1.1,,46
2019-03-19,2019,3,19,4.3,-3.7,0.3,0,
2019-03-20,2019,3,20,,,,,
2019-03-21,2019,3,21,6.3,2.4,4.4,0,35
2019-03-22,2019,3,22,4.4,-3.1,0.7,0,81
2019-03-23,2019,3,23,5.6,-5.6,0,0,61
2019-03-24,2019,3,24,9.5,1,5.3,0,46
2019-03-25,2019,3,25,1.6,-2.3,-0.4,0,33
2019-03-26,2019,3,26,2.3,-2.1,0.1,0,
2019-03-27,2019,3,27,6.8,-0.6,3.1,0,
2019-03-28,2019,3,28,9.2,-1.3,4,0.2,41
2019-03-29,2019,3,29,9.9,3.5,6.7,0,35
2019-03-30,2019,3,30,5.7,0.7,3.2,30.4,52
2019-03-31,2019,3,31,2.9,-2.7,0.1,7.2,54
2019-04-01,2019,4,1,2.7,-3.5,-0.4,0,41
2019-04-02,2019,4,2,6.6,0.8,3.7,0,
2019-04-03,2019,4,3,7,2,4.5,0,76
2019-04-04,2019,4,4,4.1,-0.4,1.9,0,32
2019-04-05,2019,4,5,3.3,1.1,2.2,0,46
2019-04-06,2019,4,6,11.4,2.4,6.9,0,
2019-04-07,2019,4,7,9.1,5.3,7.2,3.6,50
2019-04-08,2019,4,8,15.5,4.1,9.8,0.4,61
2019-04-09,2019,4,9,10.6,4.2,7.4,0,72
2019-04-10,2019,4,10,6.3,1.6,4,0,37
2019-04-11,2019,4,11,4.1,0.1,2.1,0.4,59
2019-04-12,2019,4,12,11.9,4,8,1.4,58
2019-04-13,2019,4,13,14,3.3,8.7,0,55
2019-04-14,2019,4,14,5.4,2.7,4.1,23.8,74
2019-04-15,2019,4,15,9.2,2.5,5.9,1.2,65
2019-04-16,2019,4,16,6.7,1.8,4.3,0.2,35
2019-04-17,2019,4,17,8.5,0.9,4.7,0,50
2019-04-18,2019,4,18,16.8,5.7,11.3,0.6,37
2019-04-19,2019,4,19,13.3,6,9.7,16,46
2019-04-20,2019,4,20,7.7,4.9,6.3,8.4,41
2019-04-21,2019,4,21,8.9,5.3,7.1,0,
2019-04-22,2019,4,22,14.5,4,9.3,0,
2019-04-23,2019,4,23,14.1,7,10.6,3,63
2019-04-24,2019,4,24,11.5,4.9,8.2,0,54
2019-04-25,2019,4,25,9.1,3.3,6.2,0,46
2019-04-26,2019,4,26,10.9,4.3,7.6,20,76
2019-04-27,2019,4,27,8.1,1.9,5,0,72
2019-04-28,2019,4,28,10.6,3.5,7.1,0,48
2019-04-29,2019,4,29,5.6,0.9,3.3,0.2,54
2019-04-30,2019,4,30,9.2,4.9,7.1,0.5,41
2019-05-01,2019,5,1,7.7,5,6.4,14.3,65
2019-05-02,2019,5,2,6.9,4,5.5,2.4,39
2019-05-03,2019,5,3,10.2,5.5,7.9,11.4,39
2019-05-04,2019,5,4,11.2,6.5,8.9,0.4,
2019-05-05,2019,5,5,14.5,5.4,10,0,
2019-05-06,2019,5,6,20,6.4,13.2,0,33
2019-05-07,2019,5,7,13.7,6.9,10.3,2.7,33
2019-05-08,2019,5,8,8.9,7.2,8.1,0,46
2019-05-09,2019,5,9,13.9,6.7,10.3,6.8,63
2019-05-10,2019,5,10,15.9,5.8,10.9,8.2,50
2019-05-11,2019,5,11,10.8,4,7.4,0,
2019-05-12,2019,5,12,10.5,5,7.8,3.8,63
2019-05-13,2019,5,13,7.5,4.9,6.2,6.2,52
2019-05-14,2019,5,14,16.2,6,11.1,0.6,33
2019-05-15,2019,5,15,20.1,5.4,12.8,1.2,41
2019-05-16,2019,5,16,12.6,7.8,10.2,,
2019-05-17,2019,5,17,17,7.4,12.2,,37
2019-05-18,2019,5,18,12.6,7.7,10.2,0,46
2019-05-19,2019,5,19,14.8,8.6,11.7,2.8,37
2019-05-20,2019,5,20,18.1,7.5,12.8,0,65
2019-05-21,2019,5,21,19.1,6.7,12.9,0,41
2019-05-22,2019,5,22,,,,,
2019-05-23,2019,5,23,,,,0.2,71
2019-05-24,2019,5,24,,,,0,37
2019-05-25,2019,5,25,19.2,9.2,14.2,20.5,37
2019-05-26,2019,5,26,24.3,11.4,17.9,0,35
2019-05-27,2019,5,27,21.4,11,16.2,0,35
2019-05-28,2019,5,28,13.2,8.8,11,3.2,72
2019-05-29,2019,5,29,13.4,9.8,11.6,0,
2019-05-30,2019,5,30,20.6,9.5,15.1,0,
2019-05-31,2019,5,31,15.9,9.7,12.8,0,
2019-06-01,2019,6,1,,,,0.3,37
2019-06-02,2019,6,2,,,,3.3,58
2019-06-03,2019,6,3,,,,0,58
2019-06-04,2019,6,4,,,,0,42
2019-06-05,2019,6,5,,,,12.9,35
2019-06-06,2019,6,6,19.8,13,16.4,0,
2019-06-07,2019,6,7,22.1,11.7,16.9,0,37
2019-06-08,2019,6,8,20.5,12.7,16.6,0,46
2019-06-09,2019,6,9,20.5,14.9,17.7,0,39
2019-06-10,2019,6,10,19.6,12.4,16,27.8,52
2019-06-11,2019,6,11,22.5,11,16.8,,48
2019-06-12,2019,6,12,16.5,9.5,13,0,35
2019-06-13,2019,6,13,16.1,11.7,13.9,23.6,37
2019-06-14,2019,6,14,22.9,12.1,17.5,0,58
2019-06-15,2019,6,15,17.4,12.4,14.9,0.4,41
2019-06-16,2019,6,16,,,,0,
2019-06-17,2019,6,17,17.4,12.2,14.8,0,
2019-06-18,2019,6,18,,,,0,
2019-06-19,2019,6,19,,,,0,
2019-06-20,2019,6,20,21.5,17,19.3,19.2,39
2019-06-21,2019,6,21,24.3,15.7,20,0,37
2019-06-22,2019,6,22,24.6,14.6,19.6,0,35
2019-06-23,2019,6,23,24.8,12.7,18.8,0,
2019-06-24,2019,6,24,19.6,14.6,17.1,13.3,37
2019-06-25,2019,6,25,25.4,14.5,20,0,46
2019-06-26,2019,6,26,29.3,16.7,23,0.2,45
2019-06-27,2019,6,27,26.9,14.8,20.9,0,
2019-06-28,2019,6,28,25.5,17.6,21.6,19,54
2019-06-29,2019,6,29,28.8,17.4,23.1,2.7,39
2019-06-30,2019,6,30,24.5,17.8,21.2,0,42
2019-07-01,2019,7,1,25,14.4,19.7,0,32
2019-07-02,2019,7,2,24.3,17.7,21,0,
2019-07-03,2019,7,3,27.2,19,23.1,0,
2019-07-04,2019,7,4,,,,,
2019-07-05,2019,7,5,28.9,19.8,24.4,0,
2019-07-06,2019,7,6,27.3,20.1,23.7,1.2,33
2019-07-07,2019,7,7,22.2,18,20.1,0,39
2019-07-08,2019,7,8,23.7,15.6,19.7,0,
2019-07-09,2019,7,9,25.5,15.9,20.7,0,
2019-07-10,2019,7,10,25,16.4,20.7,0,
2019-07-11,2019,7,11,28.8,17.4,23.1,0.2,46
2019-07-12,2019,7,12,23.1,16.4,19.8,0,33
2019-07-13,2019,7,13,25.3,16.5,20.9,20,50
2019-07-14,2019,7,14,27.7,18.1,22.9,0,35
2019-07-15,2019,7,15,25.3,15.8,20.6,0,
2019-07-16,2019,7,16,30.9,17.7,24.3,3.4,48
2019-07-17,2019,7,17,26.6,19.7,23.2,15,
2019-07-18,2019,7,18,,,,,
2019-07-19,2019,7,19,27.6,21.2,24.4,0,33
2019-07-20,2019,7,20,33.5,19.2,26.4,5.7,65
2019-07-21,2019,7,21,28.1,16.2,22.2,0,33
2019-07-22,2019,7,22,22.1,16.3,19.2,0.7,32
2019-07-23,2019,7,23,24.9,15.8,20.4,0,
2019-07-24,2019,7,24,25.7,16.8,21.3,0,
2019-07-25,2019,7,25,24.7,14.1,19.4,0,39
2019-07-26,2019,7,26,28,16,22,0,32
2019-07-27,2019,7,27,27.1,17.2,22.2,2,32
2019-07-28,2019,7,28,26.6,18.3,22.5,0,39
2019-07-29,2019,7,29,26.5,16.7,21.6,1,37
2019-07-30,2019,7,30,27.7,17,22.4,30,35
2019-07-31,2019,7,31,24.8,16.9,20.9,0,
2019-08-01,2019,8,1,25,17.8,21.4,0,
2019-08-02,2019,8,2,25.3,15.6,20.5,0,
2019-08-03,2019,8,3,26.7,16.6,21.7,0,
2019-08-04,2019,8,4,24.5,20.1,22.3,0,
2019-08-05,2019,8,5,26.7,16.2,21.5,0,
2019-08-06,2019,8,6,24.4,19.7,22.1,5,59
2019-08-07,2019,8,7,25.3,20.4,22.9,0,
2019-08-08,2019,8,8,27.3,19.2,23.3,3,52
2019-08-09,2019,8,9,26.9,16.9,21.9,0,54
2019-08-10,2019,8,10,26,14.8,20.4,0,52
2019-08-11,2019,8,11,23.9,14.1,19,0,33
2019-08-12,2019,8,12,27.3,16.7,22,0.2,41
2019-08-13,2019,8,13,26,17.8,21.9,0,35
2019-08-14,2019,8,14,23.5,18.7,21.1,0,42
2019-08-15,2019,8,15,21.7,17,19.4,0.5,39
2019-08-16,2019,8,16,22.7,18.2,20.5,0,
2019-08-17,2019,8,17,25.4,17.7,21.6,14.1,42
2019-08-18,2019,8,18,25.4,18.5,22,3,
2019-08-19,2019,8,19,28.4,17.8,23.1,0.2,37
2019-08-20,2019,8,20,23.9,16.6,20.3,0,
2019-08-21,2019,8,21,29,20.5,24.8,2,39
2019-08-22,2019,8,22,24.9,17.5,21.2,0,33
2019-08-23,2019,8,23,22.9,15.5,19.2,0,37
2019-08-24,2019,8,24,21.5,14.8,18.2,0,
2019-08-25,2019,8,25,22.2,15.2,18.7,0,35
2019-08-26,2019,8,26,22.9,18.4,20.7,0,46
2019-08-27,2019,8,27,21.9,18.5,20.2,11,45
2019-08-28,2019,8,28,26.1,18.4,22.3,0.2,39
2019-08-29,2019,8,29,23.9,16.9,20.4,0,41
2019-08-30,2019,8,30,25,14.1,19.6,0,50
2019-08-31,2019,8,31,20.8,14,17.4,0,
2019-09-01,2019,9,1,19.9,16.6,18.3,0.6,32
2019-09-02,2019,9,2,23.6,17.6,20.6,0,
2019-09-03,2019,9,3,22.6,15.6,19.1,6.4,46
2019-09-04,2019,9,4,21.5,14.9,18.2,0,45
2019-09-05,2019,9,5,20.2,12.2,16.2,0,
2019-09-06,2019,9,6,20.5,13.3,16.9,0.9,
2019-09-07,2019,9,7,23.3,12.6,18,0,41
2019-09-08,2019,9,8,18.9,12.7,15.8,0,35
2019-09-09,2019,9,9,18.3,11,14.7,0,35
2019-09-10,2019,9,10,24.1,14.2,19.2,17.7,33
2019-09-11,2019,9,11,26.4,17.4,21.9,1,42
2019-09-12,2019,9,12,18.9,13.8,16.4,0.2,45
2019-09-13,2019,9,13,20.8,16,18.4,4.5,54
2019-09-14,2019,9,14,22.9,15.9,19.4,0,45
2019-09-15,2019,9,15,17.8,12.9,15.4,4.3,
2019-09-16,2019,9,16,18.6,13.3,16,0.2,35
2019-09-17,2019,9,17,21.6,12.2,16.9,0,
2019-09-18,2019,9,18,20.8,14.1,17.5,0,
2019-09-19,2019,9,19,21.5,13.9,17.7,0,
2019-09-20,2019,9,20,22.2,14.5,18.4,0,
2019-09-21,2019,9,21,23,17.9,20.5,0,
2019-09-22,2019,9,22,26.9,18.7,22.8,0,45
2019-09-23,2019,9,23,25.7,16.2,21,1.2,54
2019-09-24,2019,9,24,22.2,14.1,18.2,0,37
2019-09-25,2019,9,25,23,14,18.5,0,42
2019-09-26,2019,9,26,22.6,11.4,17,4.6,54
2019-09-27,2019,9,27,21.5,10.3,15.9,0,
2019-09-28,2019,9,28,20,13.7,16.9,5.8,33
2019-09-29,2019,9,29,15.2,10.8,13,0,45
2019-09-30,2019,9,30,17.4,12.7,15.1,0,45
2019-10-01,2019,10,1,25.2,15.2,20.2,10.5,55
2019-10-02,2019,10,2,19.2,10.3,14.8,11.5,54
2019-10-03,2019,10,3,13,9.6,11.3,1.7,58
2019-10-04,2019,10,4,12.6,8.1,10.4,0,39
2019-10-05,2019,10,5,15,8.9,12,0,50
2019-10-06,2019,10,6,20.2,14.3,17.3,1.9,41
2019-10-07,2019,10,7,18.4,10.4,14.4,0,45
2019-10-08,2019,10,8,16.4,7.6,12,0,
2019-10-09,2019,10,9,16.4,11.5,14,0,41
2019-10-10,2019,10,10,16.1,11.6,13.9,0,46
2019-10-11,2019,10,11,17,13.5,15.3,0,46
2019-10-12,2019,10,12,15.4,7.7,11.6,3.9,46
2019-10-13,2019,10,13,16.9,6,11.5,0,58
2019-10-14,2019,10,14,12.9,8.6,10.8,0,48
2019-10-15,2019,10,15,14,6.1,10.1,0,41
2019-10-16,2019,10,16,14.2,8.8,11.5,26.8,45
2019-10-17,2019,10,17,9.4,7.7,8.6,0,67
2019-10-18,2019,10,18,12.1,5.2,8.7,0,42
2019-10-19,2019,10,19,11.6,2.7,7.2,0,33
2019-10-20,2019,10,20,14.1,8.7,11.4,0,
2019-10-21,2019,10,21,14.2,7.9,11.1,1.2,54
2019-10-22,2019,10,22,16.3,11,13.7,9.6,48
2019-10-23,2019,10,23,14.2,9.1,11.7,0,61
2019-10-24,2019,10,24,15.2,8.1,11.7,0.2,46
2019-10-25,2019,10,25,11.2,6.6,8.9,0,35
2019-10-26,2019,10,26,11.6,4.3,8,14.3,52
2019-10-27,2019,10,27,13.9,9.5,11.7,37.9,59
2019-10-28,2019,10,28,14.1,7.7,10.9,0,
2019-10-29,2019,10,29,14.6,9.1,11.9,0.2,35
2019-10-30,2019,10,30,11.1,7.8,9.5,20.1,37
2019-10-31,2019,10,31,12.4,5.6,9,27.1,94
2019-11-01,2019,11,1,5.6,3.4,4.5,0.2,78
2019-11-02,2019,11,2,7.8,3.2,5.5,0.2,48
2019-11-03,2019,11,3,6.8,2.2,4.5,0,48
2019-11-04,2019,11,4,10.2,4.6,7.4,0.2,50
2019-11-05,2019,11,5,8.8,3.1,6,0,54
2019-11-06,2019,11,6,4.9,0.5,2.7,0.2,39
2019-11-07,2019,11,7,3.2,-2,0.6,3.5,
2019-11-08,2019,11,8,0.9,-4,-1.6,0,33
2019-11-09,2019,11,9,4.7,-1.8,1.5,0,54
2019-11-10,2019,11,10,7.8,-0.1,3.9,0,46
2019-11-11,2019,11,11,0.2,-5.9,-2.9,7.6,48
2019-11-12,2019,11,12,-3.8,-8,-5.9,0,50
2019-11-13,2019,11,13,0.4,-10.6,-5.1,0.2,39
2019-11-14,2019,11,14,1.4,-1.7,-0.2,0.2,58
2019-11-15,2019,11,15,3.9,-5.1,-0.6,0,52
2019-11-16,2019,11,16,0.3,-7.7,-3.7,0,50
2019-11-17,2019,11,17,4,-3.5,0.3,0,35
2019-11-18,2019,11,18,3.6,2.3,3,5.6,32
2019-11-19,2019,11,19,3.4,1.7,2.6,0,
2019-11-20,2019,11,20,8.9,1.2,5.1,0,
2019-11-21,2019,11,21,8.5,-0.1,4.2,3.4,42
2019-11-22,2019,11,22,10.6,-0.3,5.2,0,72
2019-11-23,2019,11,23,4.8,-0.3,2.3,0,41
2019-11-24,2019,11,24,6.2,-0.6,2.8,0,35
2019-11-25,2019,11,25,6.4,1.5,4,0,
2019-11-26,2019,11,26,10.5,2.2,6.4,0,37
2019-11-27,2019,11,27,8.9,5,7,7.2,67
2019-11-28,2019,11,28,6.8,-2.1,2.4,0,59
2019-11-29,2019,11,29,-0.4,-2.2,-1.3,0,
2019-11-30,2019,11,30,0,-2.9,-1.5,0,58
2019-12-01,2019,12,1,1.2,-2.5,-0.7,10.8,81
2019-12-02,2019,12,2,0.1,-4.3,-2.1,2.1,50
2019-12-03,2019,12,3,1.4,-6.2,-2.4,0,35
2019-12-04,2019,12,4,3.6,1.2,2.4,0,45
2019-12-05,2019,12,5,2,-0.9,0.6,0,52
2019-12-06,2019,12,6,0.8,-2.9,-1.1,6.7,37
2019-12-07,2019,12,7,0.2,-3.6,-1.7,0,
2019-12-08,2019,12,8,5.8,0,2.9,0,45
2019-12-09,2019,12,9,7.3,4.7,6,8.5,35
2019-12-10,2019,12,10,8.9,-5.8,1.6,0.2,71
2019-12-11,2019,12,11,-2.2,-6.1,-4.2,0,71
2019-12-12,2019,12,12,2.2,-6.6,-2.2,0,
2019-12-13,2019,12,13,5.3,2.2,3.8,0,32
2019-12-14,2019,12,14,4.1,1,2.6,31.3,59
2019-12-15,2019,12,15,2.6,-3.5,-0.5,0,63
2019-12-16,2019,12,16,1.3,-3.4,-1.1,0,
2019-12-17,2019,12,17,1.8,-1.5,0.2,0,41
2019-12-18,2019,12,18,-1.4,-13.4,-7.4,0,58
2019-12-19,2019,12,19,-4.7,-14.4,-9.6,0.6,33
2019-12-20,2019,12,20,-2.9,-7.5,-5.2,0,33
2019-12-21,2019,12,21,2.5,-3.4,-0.5,0,
2019-12-22,2019,12,22,5,0.9,3,0,41
2019-12-23,2019,12,23,9.2,2.4,5.8,0,45
2019-12-24,2019,12,24,3.2,-0.7,1.3,0,39
2019-12-25,2019,12,25,2.4,-0.1,1.2,0,32
2019-12-26,2019,12,26,4.1,1.6,2.9,0,46
2019-12-27,2019,12,27,11.2,3.2,7.2,0,50
2019-12-28,2019,12,28,3.8,1.7,2.8,0,32
2019-12-29,2019,12,29,2.6,1.1,1.9,7.7,65
2019-12-30,2019,12,30,7.7,1.7,4.7,11.6,81
2019-12-31,2019,12,31,3.2,-0.2,1.5,0.4,55
